  t                         w                         alpha
  0.24199999999999999        4.9873051545962763        1.9070147695010673     
  0.24299999999999999        4.9876121792107488        1.9164435136792666     
  0.24399999999999999        4.9879117784412870        1.9258728242314174     
  0.24500000000000000        4.9882041318706216        1.9353026874597790     
  0.24600000000000000        4.9884894147382779        1.9447330899978910     
  0.24700000000000000        4.9887677980456200        1.9541640188025602     
  0.24800000000000000        4.9890394486583469        1.9635954611460424     
  0.24900000000000000        4.9893045294065166        1.9730274046084142     
  0.25000000000000000        4.9895631991821441        1.9824598370701267     
  0.25100000000000000        4.9898156130344509        1.9918927467047429     
  0.25200000000000000        4.9900619222627913        2.0013261219718474     
  0.25300000000000000        4.9903022745073544        2.0107599516101295     
  0.25400000000000000        4.9905368138376511        2.0201942246306328     
  0.25500000000000000        4.9907656808388756        2.0296289303101678     
  0.25600000000000001        4.9909890126961782        2.0390640581848873     
  0.25700000000000001        4.9912069432768833        2.0484995980440104     
  0.25800000000000001        4.9914196032107432        2.0579355399237023     
  0.25900000000000001        4.9916271199682267        2.0673718741011062     
  0.26000000000000001        4.9918296179369390        2.0768085910885108     
  0.26100000000000001        4.9920272184961689        2.0862456816276653     
  0.26200000000000001        4.9922200400896601        2.0956831366842281     
  0.26300000000000001        4.9924081982965856        2.1051209474423547     
  0.26400000000000001        4.9925918059008465        2.1145591052994104     
  0.26500000000000001        4.9927709729586649        2.1239976018608160     
  0.26600000000000001        4.9929458068645607        2.1334364289350134     
  0.26700000000000002        4.9931164124157110        2.1428755785285585     
  0.26800000000000002        4.9932828918747862        2.1523150428413289     
  0.26900000000000002        4.9934453450312315        2.1617548142618452     
  0.27000000000000002        4.9936038692610865        2.1711948853627145     
  0.27100000000000002        4.9937585595853573        2.1806352488961736     
  0.27200000000000002        4.9939095087269649        2.1900758977897472     
  0.27300000000000002        4.9940568071663307        2.1995168251420063     
  0.27400000000000002        4.9942005431956122        2.2089580242184348     
  0.27500000000000002        4.9943408029716183        2.2183994884473885     
  0.27600000000000002        4.9944776705674609        2.2278412114161599     
  0.27700000000000002        4.9946112280229462        2.2372831868671317     
  0.27800000000000002        4.9947415553937464        2.2467254086940271     
  0.27900000000000003        4.9948687307993938        2.2561678709382500     
  0.28000000000000003        4.9949928304700988        2.2656105677853113     
  0.28100000000000003        4.9951139287924455        2.2750534935613476     
  0.28200000000000003        4.9952320983539824        2.2844966427297155     
  0.28300000000000003        4.9953474099867288        2.2939400098876770     
  0.28400000000000003        4.9954599328096316        2.3033835897631572     
  0.28500000000000003        4.9955697342700018        2.3128273772115882     
  0.28600000000000003        4.9956768801839351        2.3222713672128221     
  0.28700000000000003        4.9957814347757710        2.3317155548681230     
  0.28800000000000003        4.9958834607165779        2.3411599353972319     
  0.28899999999999998        4.9959830191617334        2.3506045041354993     
  0.28999999999999998        4.9960801697875690        2.3600492565310907     
  0.29099999999999998        4.9961749708271448        2.3694941881422578     
  0.29199999999999998        4.9962674791051587        2.3789392946346739     
  0.29299999999999998        4.9963577500720051        2.3883845717788414     
  0.29399999999999998        4.9964458378370091        2.3978300154475507     
  0.29499999999999998        4.9965317952008643        2.4072756216134077     
  0.29599999999999999        4.9966156736872804        2.4167213863464232     
  0.29699999999999999        4.9966975235738698        2.4261673058116537     
  0.29799999999999999        4.9967773939222777        2.4356133762669030     
  0.29899999999999999        4.9968553326075984        2.4450595940604805     
