  t                          alpha1                    alpha2                    alpha3                    alpha4                    alpha5
  0.20500000000000002        1.5014383858565097        1.3797281395602101        1.2580179054438370        1.1363076703954884        1.0145974429758999     
  0.20600000000000002        1.5108419203103021        1.3884092269545674        1.2659765455211400        1.1435438629562538        1.0211111877123522     
  0.20700000000000002        1.5202467481723827        1.3970915313836763        1.2739363262694332        1.1507811198331184        1.0276259204226825     
  0.20800000000000002        1.5296528348889142        1.4057750203308024        1.2818972172087790        1.1580194125826535        1.0341416146995701     
  0.20899999999999999        1.5390601468342375        1.4144596621527090        1.2898591886780666        1.1652587135255950        1.0406582448452055     
  0.20999999999999999        1.5484686512858770        1.4231454260561351        1.2978222118129614        1.1724989957262630        1.0471757858521860     
  0.21099999999999999        1.5578783164002139        1.4318322820749012        1.3057862585244446        1.1797402329725339        1.0536942133849148     
  0.21199999999999999        1.5672891111888223        1.4405202010476394        1.3137513014779338        1.1869823997563542        1.0602135037615115     
  0.21299999999999999        1.5767010054954369        1.4492091545961188        1.3217173140729672        1.1942254712547817        1.0667336339362063     
  0.21400000000000000        1.5861139699735467        1.4578991151041549        1.3296842704234324        1.2014694233115344        1.0732545814822090     
  0.21500000000000000        1.5955279760645893        1.4665900556970937        1.3376521453383312        1.2087142324190361        1.0797763245750385     
  0.21600000000000000        1.6049429959767341        1.4752819502218395        1.3456209143030629        1.2159598757009511        1.0862988419763060     
  0.21700000000000000        1.6143590026642378        1.4839747732274289        1.3535905534612085        1.2232063308951837        1.0928221130179296     
  0.21800000000000000        1.6237759698073548        1.4926684999461255        1.3615610395968110        1.2304535763373408        1.0993461175867811     
  0.21900000000000000        1.6331938435172040        1.5013631062750221        1.3695323501171279        1.2377015909446367        1.1058708361097371     
  0.22000000000000000        1.6426126274800454        1.5100585424957067        1.3775044392625151        1.2449503542002336        1.1123962495391462     
  0.22100000000000000        1.6520322975573958        1.5187548123979289        1.3854773096385411        1.2521998244675703        1.1189223393386740     
  0.22200000000000000        1.6614528302505132        1.5274518938736468        1.3934509405283408        1.2594500042041223        1.1254490679753617     
  0.22300000000000000        1.6708742026834476        1.5361497654007479        1.4014253117641067        1.2667008745959871        1.1319764375749533     
  0.22400000000000000        1.6802963925865402        1.5448484060275280        1.4094004037125412        1.2739524173278867        1.1385044311402406     
  0.22500000000000001        1.6897193782803575        1.5535477953575747        1.4173761972606924        1.2812046145699543        1.1450330321244910     
  0.22600000000000001        1.6991431386600568        1.5622479135350567        1.4253526738021716        1.2884574489648752        1.1515622244195121     
  0.22700000000000001        1.7085676531801577        1.5709487412303988        1.4333298152237277        1.2957109036153640        1.1580919923440314     
  0.22800000000000001        1.7179929018397229        1.5796502596263402        1.4413076038921835        1.3029649620719777        1.1646223206323860     
