  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
  0.20800000000000002        2.9677398705695150        2.2989499545214289        1.5811646740083296        1.1832677067584811       0.94108201771008348     
  0.20899999999999999        2.9922541745118623        2.3136885551474693        1.5905636962709597        1.1901234610445204       0.94647332740534873     
  0.20999999999999999        3.0168352442104602        2.3284338885892915        1.5999640284113574        1.1969797356567400       0.95186493348274448     
  0.21099999999999999        3.0414827443731447        2.3431858371139689        1.6093656380112868        1.2038365160144235       0.95725682710534266     
  0.21199999999999999        3.0661963413908135        2.3579442850467709        1.6187684934590789        1.2106937879451625       0.96264899969948092     
  0.21299999999999999        3.0909757033289940        2.3727091187351914        1.6281725639295161        1.2175515376734267       0.96804144294692218     
  0.21400000000000000        3.1158204999194408        2.3874802265136008        1.6375778193642150        1.2244097518094545       0.97343414877724832     
  0.21500000000000000        3.1407304025218785        2.4022574986685177        1.6469842304524982        1.2312684173384534       0.97882710936047856     
  0.21600000000000000        3.1657050839626555        2.4170408274044872        1.6563917686127489        1.2381275216101013       0.98422031709991131     
  0.21700000000000000        3.1907442186956976        2.4318301068105579        1.6658004059742268        1.2449870523283453       0.98961376462517470     
  0.21800000000000000        3.2158474828141728        2.4466252328273370        1.6752101153593379        1.2518469975414834       0.99500744478548819     
  0.21900000000000000        3.2410145540421982        2.4614261032146332        1.6846208702663492        1.2587073456325224        1.0004013506431215     
  0.22000000000000000        3.2662451117266071        2.4762326175196550        1.6940326144358457        1.2655680853098106        1.0057954754670491     
  0.22100000000000000        3.2915388368287397        2.4910446770457670        1.7034453533594001        1.2724292055979276        1.0111898127267971     
  0.22200000000000000        3.3168954119162914        2.5058621848217983        1.7128590625788482        1.2792906958288313        1.0165843560864667     
  0.22300000000000000        3.3423145211551910        2.5206850455718768        1.7222737182370591        1.2861525456332543        1.0219790993989415     
  0.22400000000000000        3.3677958503015253        2.5355131656858005        1.7316892970631663        1.2930147449323377        1.0273740367002648     
  0.22500000000000001        3.3933390866935085        2.5503464531899209        1.7411057763581659        1.2998772839295010        1.0327691622041848     
  0.22600000000000001        3.4189439192434810        2.5651848177185381        1.7505231339808689        1.3067401531025391        1.0381644702968611     
  0.22700000000000001        3.4446100384299623        2.5800281704857926        1.7599413483341957        1.3136033431959422        1.0435599555317303     
  0.22800000000000001        3.4703371362897348        2.5948764242580520        1.7693603983518076        1.3204668452134278        1.0489556126245245     
  0.22900000000000001        3.4961249064099702        2.6097294933267765        1.7787802634850689        1.3273306504106832        1.0543514364484359     
  0.23000000000000001        3.5219730439203989        2.6245872934818628        1.7882009236903300        1.3341947502883118        1.0597474220294292     
  0.23100000000000001        3.5478812454855153        2.6394497419854535        1.7976223594165168        1.3410591365849762        1.0651435645416902     
