  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
  0.11200000000000000       0.24843173335780758       0.62316126936007910       0.53200041484041571       0.43288950323894787       0.35936077100990904     
  0.11300000000000000       0.25379356563714661       0.63280493597232212       0.53947711906873741       0.43873758113120437       0.36412296630971636     
  0.11400000000000000       0.25920243531570164       0.64248120775695272       0.54696778346296049       0.44459360923225116       0.36889060003560614     
  0.11500000000000000       0.26465810288575403       0.65218948272218391       0.55447203652601240       0.45045734342103094       0.37366349330414123     
  0.11600000000000001       0.27016033006093509       0.66192916999081108       0.56198951665432684       0.45632854707229364       0.37844147311565107     
  0.11700000000000001       0.27570887977017650       0.67169968959503445       0.56951986356613693       0.46220699082645555       0.38322437216072147     
  0.11800000000000001       0.28130351615169669       0.68150047227506938       0.57706274313299744       0.46809245236652264       0.38801202863304524     
  0.11900000000000001       0.28694400454702429       0.69133095928367039       0.58461782197145784       0.47398471620186061       0.39280428604842760     
  0.12000000000000000       0.29263011149505980       0.70119060222110863       0.59218477556615090       0.47988357345860283       0.39760099306974322     
  0.12100000000000000       0.29836159874993218       0.71107886261878317       0.59976328803392076       0.48578882167649340       0.40240200333764892     
  0.12200000000000000       0.30413824108436216       0.72099521196029326       0.60735305189422295       0.49170026461196237       0.40720717530686334     
  0.12300000000000000       0.30995980867229006       0.73093913149736522       0.61495376784562894       0.49761771204725169       0.41201637208783076     
  0.12400000000000000       0.31582607285710196       0.74091011206918667       0.62256514454827361       0.50354097960539668       0.41682946129359172     
  0.12500000000000000       0.32173680614567257       0.75090765392508685       0.63018689841209141       0.50946988857089026       0.42164631489168902     
  0.12600000000000000       0.32769178220243678       0.76093126655050036       0.63781875339067862       0.51540426571585030       0.42646680906094531     
  0.12700000000000000       0.33369077584349088       0.77098046849615653       0.64546044078064224       0.52134394313152466       0.43129082405294927     
  0.12800000000000000       0.33973356303072721       0.78105478721043020       0.65311169902628274       0.52728875806497100       0.43611824405809807     
  0.12900000000000000       0.34581992086599411       0.79115375887480099       0.66077227352947188       0.53323855276074705       0.44094895708681892     
  0.13000000000000000       0.35194962758528947       0.80127692824235652       0.66844191646458750       0.53919317430746472       0.44578285475206397     
  0.13100000000000001       0.35812246255298130       0.81142383299952958       0.67612038659836771       0.54515247448905291       0.45061983220023033     
  0.13200000000000001       0.36433820625605995       0.82159405011787867       0.68380744911455982       0.55111630964058800       0.45545978803588022     
  0.13300000000000001       0.37059664029841782       0.83178714924285380       0.69150287544322953       0.55708454051485434       0.46030262420752760     
  0.13400000000000001       0.37689754739516013       0.84200270796394538       0.69920644309461377       0.56305703210306490       0.46514824589720322     
  0.13500000000000001       0.38324071136694343       0.85224031166806480       0.70691793549738724       0.56903365344966228       0.46999656141367219     
  0.13600000000000001       0.38962591713434480       0.86249955339562956       0.71463714184123528       0.57501427763060853       0.47484764402779711     
  0.13700000000000001       0.39605294940822378       0.87278003369930446       0.72236385692361205       0.58099878162910401       0.47970123162014056     
  0.13800000000000001       0.40252159206337551       0.88308136050534713       0.73009788100057194       0.58698704621514430       0.48455724218108331     
  0.13900000000000001       0.40903163324128622       0.89340314897751516       0.73783901964157528       0.59297895582879367       0.48941559638510157     
  0.14000000000000001       0.41558286216151663       0.90374502138348045       0.74558708358814740       0.59897439846706191       0.49427621750293566     
  0.14100000000000001       0.42217506911621983       0.91410660696370993       0.75334188861630458       0.60497347838070348       0.49913903131663145     
  0.14200000000000002       0.42880804546469081       0.92448754180277004       0.76110325540263224       0.61097585979227809       0.50400396603736197     
  0.14300000000000002       0.43548158362794065       0.93488746870299611       0.76887100938318154       0.61698144176940939       0.50887095222593648     
  0.14400000000000002       0.44219547708329776       0.94530603706050020       0.77664498050331021       0.62299012646452967       0.51373992271591229     
  0.14499999999999999       0.44894952035903896       0.95574290274346874       0.78442500324264341       0.62900181902061325       0.51861081253922092     
  0.14599999999999999       0.45574350902904764       0.96619772797269754       0.79221091649404174       0.63501642747979381       0.52348355885422881     
  0.14699999999999999       0.46257723970749520       0.97667018120433735       0.80000256344577525       0.64103386269476992       0.52835810087614987     
  0.14799999999999999       0.46945051004672156       0.98715993701480298       0.80779979146685210       0.64705403824292018       0.53323437980973776     
  0.14899999999999999       0.47636311869483045       0.99766667598780456       0.81560245199541059       0.65307687034304074       0.53811233878417808     
  0.14999999999999999       0.48331486527374407        1.0081900846034622       0.82341040043009717       0.65910227777462826       0.54299192279011188     
  0.15100000000000000       0.49030555042707896        1.0187298551294717       0.83122381945419199       0.66513018179962879       0.54787307861871992     
  0.15200000000000000       0.49733497581494818        1.0292856855142731       0.83904222519511240       0.67116050608657629       0.55275575480279981     
  0.15300000000000000       0.50440294410878950        1.0398572792821930       0.84686548550911578       0.67719317663705025       0.55763990155977061     
  0.15400000000000000       0.51150925898622024        1.0504443454305250       0.85469347175325960       0.68322812171438063       0.56252547073654391     
  0.15500000000000000       0.51865372512591523        1.0610465983285033       0.86252605869267340       0.68926527177452968       0.56741241575619683     
  0.15600000000000000       0.52583614820251556        1.0716637576181460       0.87036312441028651       0.69530455939908820       0.57230069156639185     
  0.15700000000000000       0.53305633488155657        1.0822955481169254       0.87820455021894417       0.70134591923031564       0.57719025458948203     
  0.15800000000000000       0.54031409281442788        1.0929416997222372       0.88605022057585481       0.70738928790816813       0.58208106267425208     
  0.15900000000000000       0.54760923063335198        1.1036019473176275       0.89390002299929883       0.71343460400924952       0.58697307504923502     
  0.16000000000000000       0.55494155794639377        1.1142760306807582       0.90175384798754832       0.71948180798762729       0.59186625227755885     
  0.16100000000000000       0.56231088533249218        1.1249636943930643       0.90961158893992911       0.72553084211745722       0.59676055621327051     
  0.16200000000000001       0.56971702433651739        1.1356646877510805       0.91747314207997721       0.73158165043736167       0.60165594995908700     
  0.16300000000000001       0.57715978746435403        1.1463787646794059       0.92533840638062881       0.73763417869650749       0.60655239782553139     
  0.16400000000000001       0.58463898817800730        1.1571056836452740       0.93320728349139126       0.74368837430232926       0.61144986529140510     
  0.16500000000000001       0.59215444089073532        1.1678452075746979       0.94107967766744371       0.74974418626985428       0.61634831896555242     
  0.16600000000000001       0.59970596096220530        1.1785971037557521       0.94895549570061577       0.75580156517257158       0.62124772654987870     
  0.16700000000000001       0.60729336469367434        1.1893611436331928       0.95683464685219377       0.76186046309480526       0.62614805680357599     
  0.16800000000000001       0.61491644488791997        1.2001371028780685       0.96471704278750503       0.76792083358554131       0.63104927950852141     
  0.16900000000000001       0.62257504389524920        1.2109247613106711       0.97260259751223921       0.77398263161366598       0.63595136543580644     
  0.17000000000000001       0.63026898087790861        1.2217239028236870       0.98049122731045024       0.78004581352457225       0.64085428631336194     
  0.17100000000000001       0.63799807591835822        1.2325343153067734       0.98838285068420595       0.78611033699809196       0.64575798716656851     
  0.17200000000000001       0.64576215001459314        1.2433557905725345       0.99627738829483092       0.79217616100771326       0.65066247416547296     
  0.17300000000000001       0.65356102507548830        1.2541881242838746        1.0041747629057109       0.79824324578104389       0.65556772125808449     
  0.17400000000000002       0.66139452391616627        1.2650311158826912        1.0120748993266087       0.80431155276148392       0.66047370326047972     
  0.17500000000000002       0.66926247025338981        1.2758845685199027        1.0199777243594543       0.81038104457106863       0.66538039582780450     
  0.17599999999999999       0.67716468870097746        1.2867482889867601        1.0278831667455726       0.81645168497444642       0.67028777542624562     
  0.17699999999999999       0.68510100476524283        1.2976227311437376        1.0357911571143108       0.82252343884395895       0.67519581930594208     
  0.17799999999999999       0.69307124484045513        1.3085070325231443        1.0437016279330200       0.82859623414782124       0.68010450547480006     
  0.17899999999999999       0.70107523620432521        1.3194010116227937        1.0516145134583694       0.83467008218838823       0.68501381267318440     
  0.17999999999999999       0.70911280701351320        1.3303044902811123        1.0595297496889442       0.84074495041185937       0.68992372034945693     
  0.18099999999999999       0.71718378629916069        1.3412172936156621        1.0674472743191017       0.84682080727624998       0.69483420863633050     
  0.18200000000000000       0.72528800396244242        1.3521392499627980        1.0753670266940492       0.85289762221986709       0.69974525832801637     
  0.18300000000000000       0.73342529077014362        1.3630701908184375        1.0832889477661125       0.85897536563077070       0.70465685085813434     
  0.18400000000000000       0.74159547835025863        1.3740099507799148        1.0912129800521599       0.86505400881718530       0.70956896827836069     
  0.18500000000000000       0.74979839918761215        1.3849583674889081        1.0991390675921573       0.87113352397883725       0.71448159323779181     
  0.18600000000000000       0.75803388661950222        1.3959152815754186        1.1070671559088194       0.87721388417918322       0.71939470896299584     
