t	v	
0.009440	0.009426	
0.009450	0.008622	
0.009460	0.007745	
0.009470	0.006805	
0.009480	0.005814	
0.009490	0.004783	
0.009500	0.003724	
0.009510	0.002647	
0.009520	0.001566	
0.009530	0.000491	
0.009540	-0.000567	
0.009550	-0.001597	
0.009560	-0.002589	
0.009570	-0.003532	
0.009580	-0.004420	
0.009590	-0.005242	
0.009600	-0.005993	
0.009610	-0.006666	
0.009620	-0.007254	
0.009630	-0.007755	
0.009640	-0.008164	
0.009650	-0.008480	
0.009660	-0.008700	
0.009670	-0.008825	
0.009680	-0.008855	
0.009690	-0.008792	
0.009700	-0.008638	
0.009710	-0.008398	
0.009720	-0.008074	
0.009730	-0.007674	
0.009740	-0.007201	
0.009750	-0.006663	
0.009760	-0.006067	
0.009770	-0.005420	
0.009780	-0.004729	
0.009790	-0.004004	
0.009800	-0.003252	
0.009810	-0.002482	
0.009820	-0.001702	
0.009830	-0.000920	
0.009840	-0.000146	
0.009850	0.000615	
0.009860	0.001352	
0.009870	0.002061	
0.009880	0.002733	
0.009890	0.003362	
0.009900	0.003943	
0.009910	0.004471	
0.009920	0.004941	
0.009930	0.005350	
0.009940	0.005694	
0.009950	0.005972	
0.009960	0.006181	
0.009970	0.006322	
0.009980	0.006394	
0.009990	0.006397	
