t	f	
0.007300	-0.002269	
0.007310	-0.002363	
0.007320	-0.002418	
0.007330	-0.002434	
0.007340	-0.002412	
0.007350	-0.002353	
0.007360	-0.002259	
0.007370	-0.002133	
0.007380	-0.001978	
0.007390	-0.001797	
0.007400	-0.001594	
0.007410	-0.001373	
0.007420	-0.001137	
0.007430	-0.000890	
0.007440	-0.000638	
0.007450	-0.000383	
0.007460	-0.000131	
0.007470	0.000116	
0.007480	0.000353	
0.007490	0.000578	
0.007500	0.000786	
0.007510	0.000976	
0.007520	0.001145	
0.007530	0.001291	
0.007540	0.001412	
0.007550	0.001508	
0.007560	0.001577	
0.007570	0.001620	
0.007580	0.001636	
0.007590	0.001627	
0.007600	0.001592	
0.007610	0.001534	
0.007620	0.001454	
0.007630	0.001354	
0.007640	0.001236	
0.007650	0.001102	
0.007660	0.000956	
0.007670	0.000799	
0.007680	0.000635	
0.007690	0.000466	
0.007700	0.000295	
0.007710	0.000124	
0.007720	-0.000043	
0.007730	-0.000204	
0.007740	-0.000357	
0.007750	-0.000499	
0.007760	-0.000630	
0.007770	-0.000747	
0.007780	-0.000848	
0.007790	-0.000933	
0.007800	-0.001001	
0.007810	-0.001052	
0.007820	-0.001085	
0.007830	-0.001099	
0.007840	-0.001097	
0.007850	-0.001077	
0.007860	-0.001041	
0.007870	-0.000990	
0.007880	-0.000926	
0.007890	-0.000849	
0.007900	-0.000761	
0.007910	-0.000665	
0.007920	-0.000560	
0.007930	-0.000451	
0.007940	-0.000338	
0.007950	-0.000223	
0.007960	-0.000108	
0.007970	0.000005	
0.007980	0.000114	
0.007990	0.000218	
